"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","541","@regression spies on initial page request and asserts 200","","2026-09-21","passed","2026-09-21","","Network — cy.intercept() showcase (shared session)","",""
"","936","@regression locked-out user sees specific error","","2026-09-21","passed","2026-09-21","","Login","",""
"","956","@regression valid credentials navigate to inventory","","2026-09-21","passed","2026-09-21","","Login","",""
"","912","@regression missing last name shows validation error","","2026-09-21","passed","2026-09-21","","Checkout","",""
"","404","@regression add then remove item removes cart badge","","2026-09-21","passed","2026-09-21","","Inventory","",""
"","0","@regression — inventory page meets performance budget","","2026-09-21","skipped","2026-09-21","","Performance Audits — Lighthouse","",""
"","1","@regression — checkout step 1 meets performance budget","","2026-09-21","skipped","2026-09-21","","Performance Audits — Lighthouse","",""
"","319","@smoke — login page has no critical a11y violations","","2026-09-21","passed","2026-09-21","","Accessibility Audits","",""
"","260","@smoke add item to cart increments badge to 1","","2026-09-21","passed","2026-09-21","","Inventory","",""
"","751","@regression stubs product images on inventory page with 404","","2026-09-21","passed","2026-09-21","","Network — cy.intercept() showcase (shared session)","",""
"","251","@regression — checkout step 1 has no critical a11y violations","","2026-09-21","passed","2026-09-21","","Accessibility Audits","",""
"","828","@regression missing first name shows validation error","","2026-09-21","passed","2026-09-21","","Checkout","",""
"","1104","@regression complete full checkout shows success confirmation","","2026-09-21","passed","2026-09-21","","Checkout","",""
"","3","@regression — login page meets performance budget","","2026-09-21","skipped","2026-09-21","","Performance Audits — Lighthouse","",""
"","313","@regression navigate to cart shows added item","","2026-09-21","passed","2026-09-21","","Inventory","",""
"","14","@known-defect — inventory sort dropdown is missing an accessible label","","2026-09-21","passed","2026-09-21","","Accessibility Audits","",""
"","470","@regression logout returns to login page","","2026-09-21","passed","2026-09-21","","Login","",""
"","388","@smoke empty username shows validation error","","2026-09-21","passed","2026-09-21","","Login","",""
"","182","@smoke page loads all 6 products","","2026-09-21","passed","2026-09-21","","Inventory","",""
"","342","@regression — cart page has no critical a11y violations","","2026-09-21","passed","2026-09-21","","Accessibility Audits","",""
"","293","@regression sort price low→high lists cheapest first","","2026-09-21","passed","2026-09-21","","Inventory","",""
"","1026","@smoke invalid password shows error message","","2026-09-21","passed","2026-09-21","","Login","",""
"","212","@regression spies on JavaScript bundle requests during page load","","2026-09-21","passed","2026-09-21","","Network — cy.intercept() showcase (JS bundles)","",""
"","293","@regression sort A→Z lists products alphabetically","","2026-09-21","passed","2026-09-21","","Inventory","",""
"","563","@regression cancel checkout returns to cart","","2026-09-21","passed","2026-09-21","","Checkout","",""
"","968","@regression — inventory page has no critical a11y violations","","2026-09-21","passed","2026-09-21","","Accessibility Audits","",""
"","300","@regression modifies a JS bundle response to inject a custom header","","2026-09-21","passed","2026-09-21","","Network — cy.intercept() showcase (JS bundles)","",""
