"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","775","Direct URL access without login redirects to login page","","2026-09-24","passed","2026-09-24","","","",""
"","14","Users list endpoint returns multiple records","","2026-09-24","passed","2026-09-24","","","",""
"","0","Security response headers are present","","2026-09-24","skipped","2026-09-24","","","",""
"","1102","Add a single item to the cart","","2026-09-24","passed","2026-09-24","","","",""
"","989","Failed login with invalid credentials","","2026-09-24","passed","2026-09-24","","","",""
"","6064","Login with multiple user types -- @1.4 ","","2026-09-24","passed","2026-09-24","","","",""
"","1517","Multiple user types can access the dashboard -- @1.1 ","","2026-09-24","passed","2026-09-24","","","",""
"","14","Multiple endpoints return expected status codes -- @1.1 ","","2026-09-24","passed","2026-09-24","","","",""
"","32","User endpoint returns correct data","","2026-09-24","passed","2026-09-24","","","",""
"","1607","User can logout from the dashboard","","2026-09-24","passed","2026-09-24","","","",""
"","1034","Login with multiple user types -- @1.1 ","","2026-09-24","passed","2026-09-24","","","",""
"","1131","Cart persists multiple items","","2026-09-24","passed","2026-09-24","","","",""
"","17","Multiple endpoints return expected status codes -- @1.3 ","","2026-09-24","passed","2026-09-24","","","",""
"","2280","Cart reflects item added from inventory","","2026-09-24","passed","2026-09-24","","","",""
"","24","Multiple endpoints return expected status codes -- @1.4 ","","2026-09-24","passed","2026-09-24","","","",""
"","983","Login with multiple user types -- @1.3 ","","2026-09-24","passed","2026-09-24","","","",""
"","6034","Multiple user types can access the dashboard -- @1.3 ","","2026-09-24","passed","2026-09-24","","","",""
"","1585","Repeated failed logins do not lock out a valid user permanently","","2026-09-24","passed","2026-09-24","","","",""
"","1054","Successful login with valid credentials","","2026-09-24","passed","2026-09-24","","","",""
"","1018","Login with multiple user types -- @1.2 ","","2026-09-24","passed","2026-09-24","","","",""
"","24","Multiple endpoints return expected status codes -- @1.2 ","","2026-09-24","passed","2026-09-24","","","",""
"","1024","Multiple user types can access the dashboard -- @1.2 ","","2026-09-24","passed","2026-09-24","","","",""
"","990","SQL injection attempt is safely rejected","","2026-09-24","passed","2026-09-24","","","",""
"","1103","Add multiple items to the cart","","2026-09-24","passed","2026-09-24","","","",""
"","1010","XSS payload in login field is handled safely","","2026-09-24","passed","2026-09-24","","","",""
"","1096","Navigate to checkout after adding an item","","2026-09-24","passed","2026-09-24","","","",""
"","1088","Add then remove an item","","2026-09-24","passed","2026-09-24","","","",""
