"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","@known-defect — inventory sort dropdown is missing an accessible label","","2026-09-17","passed","2026-09-17","","Accessibility Audits","",""
"","257","@smoke add item to cart increments badge to 1","","2026-09-17","passed","2026-09-17","","Inventory","",""
"","1082","@regression complete full checkout shows success confirmation","","2026-09-17","passed","2026-09-17","","Checkout","",""
"","173","@smoke page loads all 6 products","","2026-09-17","passed","2026-09-17","","Inventory","",""
"","317","@regression navigate to cart shows added item","","2026-09-17","passed","2026-09-17","","Inventory","",""
"","337","@regression — cart page has no critical a11y violations","","2026-09-17","passed","2026-09-17","","Accessibility Audits","",""
"","941","@regression locked-out user sees specific error","","2026-09-17","passed","2026-09-17","","Login","",""
"","947","@regression valid credentials navigate to inventory","","2026-09-17","passed","2026-09-17","","Login","",""
"","246","@regression — checkout step 1 has no critical a11y violations","","2026-09-17","passed","2026-09-17","","Accessibility Audits","",""
"","325","@regression modifies a JS bundle response to inject a custom header","","2026-09-17","passed","2026-09-17","","Network — cy.intercept() showcase (JS bundles)","",""
"","401","@regression add then remove item removes cart badge","","2026-09-17","passed","2026-09-17","","Inventory","",""
"","3","@regression — login page meets performance budget","","2026-09-17","skipped","2026-09-17","","Performance Audits — Lighthouse","",""
"","292","@smoke — login page has no critical a11y violations","","2026-09-17","passed","2026-09-17","","Accessibility Audits","",""
"","481","@regression logout returns to login page","","2026-09-17","passed","2026-09-17","","Login","",""
"","379","@smoke empty username shows validation error","","2026-09-17","passed","2026-09-17","","Login","",""
"","1005","@smoke invalid password shows error message","","2026-09-17","passed","2026-09-17","","Login","",""
"","719","@regression stubs product images on inventory page with 404","","2026-09-17","passed","2026-09-17","","Network — cy.intercept() showcase (shared session)","",""
"","1","@regression — checkout step 1 meets performance budget","","2026-09-17","skipped","2026-09-17","","Performance Audits — Lighthouse","",""
"","896","@regression missing last name shows validation error","","2026-09-17","passed","2026-09-17","","Checkout","",""
"","562","@regression cancel checkout returns to cart","","2026-09-17","passed","2026-09-17","","Checkout","",""
"","288","@regression sort A→Z lists products alphabetically","","2026-09-17","passed","2026-09-17","","Inventory","",""
"","215","@regression spies on JavaScript bundle requests during page load","","2026-09-17","passed","2026-09-17","","Network — cy.intercept() showcase (JS bundles)","",""
"","291","@regression sort price low→high lists cheapest first","","2026-09-17","passed","2026-09-17","","Inventory","",""
"","899","@regression — inventory page has no critical a11y violations","","2026-09-17","passed","2026-09-17","","Accessibility Audits","",""
"","809","@regression missing first name shows validation error","","2026-09-17","passed","2026-09-17","","Checkout","",""
"","1","@regression — inventory page meets performance budget","","2026-09-17","skipped","2026-09-17","","Performance Audits — Lighthouse","",""
"","528","@regression spies on initial page request and asserts 200","","2026-09-17","passed","2026-09-17","","Network — cy.intercept() showcase (shared session)","",""
